DATE,MMMFFAQ027S
1945-10-01,0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,0
1952-01-01,0
1952-04-01,0
1952-07-01,0
1952-10-01,0
1953-01-01,0
1953-04-01,0
1953-07-01,0
1953-10-01,0
1954-01-01,0
1954-04-01,0
1954-07-01,0
1954-10-01,0
1955-01-01,0
1955-04-01,0
1955-07-01,0
1955-10-01,0
1956-01-01,0
1956-04-01,0
1956-07-01,0
1956-10-01,0
1957-01-01,0
1957-04-01,0
1957-07-01,0
1957-10-01,0
1958-01-01,0
1958-04-01,0
1958-07-01,0
1958-10-01,0
1959-01-01,0
1959-04-01,0
1959-07-01,0
1959-10-01,0
1960-01-01,0
1960-04-01,0
1960-07-01,0
1960-10-01,0
1961-01-01,0
1961-04-01,0
1961-07-01,0
1961-10-01,0
1962-01-01,0
1962-04-01,0
1962-07-01,0
1962-10-01,0
1963-01-01,0
1963-04-01,0
1963-07-01,0
1963-10-01,0
1964-01-01,0
1964-04-01,0
1964-07-01,0
1964-10-01,0
1965-01-01,0
1965-04-01,0
1965-07-01,0
1965-10-01,0
1966-01-01,0
1966-04-01,0
1966-07-01,0
1966-10-01,0
1967-01-01,0
1967-04-01,0
1967-07-01,0
1967-10-01,0
1968-01-01,0
1968-04-01,0
1968-07-01,0
1968-10-01,0
1969-01-01,0
1969-04-01,0
1969-07-01,0
1969-10-01,0
1970-01-01,0
1970-04-01,0
1970-07-01,0
1970-10-01,0
1971-01-01,0
1971-04-01,0
1971-07-01,0
1971-10-01,0
1972-01-01,0
1972-04-01,0
1972-07-01,0
1972-10-01,0
1973-01-01,0
1973-04-01,0
1973-07-01,0
1973-10-01,0
1974-01-01,263
1974-04-01,570
1974-07-01,1386
1974-10-01,2379
1975-01-01,3620
1975-04-01,3661
1975-07-01,3708
1975-10-01,3645.0
1976-01-01,3712
1976-04-01,3430
1976-07-01,3421
1976-10-01,3404.0
1977-01-01,3460
1977-04-01,3443
1977-07-01,3463
1977-10-01,3887
1978-01-01,5620
1978-04-01,6959
1978-07-01,8407
1978-10-01,10808
1979-01-01,18020
1979-04-01,25915
1979-07-01,34194
1979-10-01,45214
1980-01-01,61292
1980-04-01,77827
1980-07-01,79901
1980-10-01,76415
1981-01-01,114223
1981-04-01,129871
1981-07-01,164470
1981-10-01,186305
1982-01-01,198732
1982-04-01,209680
1982-07-01,235246
1982-10-01,219928
1983-01-01,197336
1983-04-01,180893
1983-07-01,179590
1983-10-01,179467
1984-01-01,195074
1984-04-01,200096
1984-07-01,205269
1984-10-01,233554
1985-01-01,241000
1985-04-01,247095
1985-07-01,243416
1985-10-01,243803
1986-01-01,266529
1986-04-01,278099
1986-07-01,296048
1986-10-01,292152
1987-01-01,304475
1987-04-01,301489
1987-07-01,306182
1987-10-01,316096
1988-01-01,344684
1988-04-01,327808
1988-07-01,327157
1988-10-01,338862
1989-01-01,365061
1989-04-01,385856
1989-07-01,416782
1989-10-01,430007
1990-01-01,465696
1990-04-01,455295
1990-07-01,486898
1990-10-01,501268
1991-01-01,555411
1991-04-01,535657
1991-07-01,536008
1991-10-01,542441
1992-01-01,574836
1992-04-01,559738
1992-07-01,556864
1992-10-01,546194
1993-01-01,559524
1993-04-01,552412
1993-07-01,550522
1993-10-01,565319
1994-01-01,582288
1994-04-01,576632
1994-07-01,586195
1994-10-01,611005
1995-01-01,641874
1995-04-01,686673
1995-07-01,710873
1995-10-01,753018
1996-01-01,824202
1996-04-01,817748
1996-07-01,852063
1996-10-01,901807
1997-01-01,965433
1997-04-01,963700
1997-07-01,1015127
1997-10-01,1058885
1998-01-01,1142406
1998-04-01,1168511
1998-07-01,1266902
1998-10-01,1351678
1999-01-01,1438367
1999-04-01,1420845
1999-07-01,1476728
1999-10-01,1613146
2000-01-01,1696149
2000-04-01,1658250
2000-07-01,1727378
2000-10-01,1845248
2001-01-01,2035459
2001-04-01,2052455
2001-07-01,2161638
2001-10-01,2285310
2002-01-01,2247857
2002-04-01,2190769
2002-07-01,2158164
2002-10-01,2265075
2003-01-01,2198864
2003-04-01,2157611
2003-07-01,2090350
2003-10-01,2040021
2004-01-01,1992608
2004-04-01,1941873
2004-07-01,1892172
2004-10-01,1901700
2005-01-01,1865022
2005-04-01,1853916
2005-07-01,1901890
2005-10-01,2026821
2006-01-01,2033948
2006-04-01,2094385
2006-07-01,2195786
2006-10-01,2338451
2007-01-01,2417799
2007-04-01,2514235
2007-07-01,2830799
2007-10-01,3085760
2008-01-01,3442540
2008-04-01,3377297
2008-07-01,3420293
2008-10-01,3832237
2009-01-01,3813876
2009-04-01,3653101
2009-07-01,3425463
2009-10-01,3315893
2010-01-01,2983807
2010-04-01,2813331
2010-07-01,2796581
2010-10-01,2803514
2011-01-01,2726914
2011-04-01,2686148
2011-07-01,2628882
2011-10-01,2690950
2012-01-01,2581689
2012-04-01,2513545
2012-07-01,2550948
2012-10-01,2693168
2013-01-01,2603767.0
2013-04-01,2606257.0
2013-07-01,2704033.0
2013-10-01,2733416.0
2014-01-01,2637347.0
2014-04-01,2564420.0
2014-07-01,2602509.0
2014-10-01,2749090.0
2015-01-01,2652790.0
2015-04-01,2614887.0
2015-07-01,2641224.0
2015-10-01,2742356.0
2016-01-01,2758204.0
2016-04-01,2700694.0
2016-07-01,2689637.0
2016-10-01,2731296.0
2017-01-01,2665201.0
2017-04-01,2635249.0
2017-07-01,2750891.0
2017-10-01,2848446.0
2018-01-01,2793376.0
2018-04-01,2820863.0
2018-07-01,2867117.0
2018-10-01,3038342.0
2019-01-01,3079366.0
2019-04-01,3205889.0
2019-07-01,3442541.0
2019-10-01,3634335.0
2020-01-01,4338008.0
2020-04-01,4635927.0
2020-07-01,4410117.0
2020-10-01,4336003.0
