DATE,MMMFTAQ027S
2000-01-01,273021.0
2000-04-01,95791.0
2000-07-01,265705.0
2000-10-01,293891.0
2001-01-01,746537.0
2001-04-01,281354.0
2001-07-01,444467.0
2001-10-01,287889.0
2002-01-01,-119438.0
2002-04-01,-56591.0
2002-07-01,-126759.0
2002-10-01,221848.0
2003-01-01,-180383.0
2003-04-01,-37113.0
2003-07-01,-266683.0
2003-10-01,-416037.0
2004-01-01,-56451.0
2004-04-01,-111447.0
2004-07-01,-206761.0
2004-10-01,-178624.0
2005-01-01,11491.0
2005-04-01,43444.0
2005-07-01,158200.0
2005-10-01,287348.0
2006-01-01,207618.0
2006-04-01,328916.0
2006-07-01,360704.0
2006-10-01,349282.0
2007-01-01,514400.0
2007-04-01,475873.0
2007-07-01,1200497.0
2007-10-01,798467.0
2008-01-01,1639994.0
2008-04-01,-172456.0
2008-07-01,100539.0
2008-10-01,1417831.0
2009-01-01,282491.0
2009-04-01,-499596.0
2009-07-01,-965979.0
2009-10-01,-882292.0
2010-01-01,-1006536.0
2010-04-01,-544594.0
2010-07-01,-178756.0
2010-10-01,-319630.0
2011-01-01,11580.0
2011-04-01,-21964.0
2011-07-01,-334078.0
2011-10-01,-105794.0
2012-01-01,-128923.0
2012-04-01,-129865.0
2012-07-01,55372.0
2012-10-01,212287.0
2013-01-01,-59908.0
2013-04-01,157466.0
2013-07-01,305301.0
2013-10-01,-241867.0
2014-01-01,-84546.0
2014-04-01,-140770.0
2014-07-01,60779.0
2014-10-01,227233.0
2015-01-01,-77300.0
2015-04-01,1339.0
2015-07-01,-8347.0
2015-10-01,57371.0
2016-01-01,376828.0
2016-04-01,-80400.0
2016-07-01,-186539.0
2016-10-01,-154129.0
2017-01-01,43839.0
2017-04-01,25180.0
2017-07-01,302284.0
2017-10-01,97297.0
2018-01-01,79255.0
2018-04-01,241167.0
2018-07-01,24473.0
2018-10-01,414689.0
2019-01-01,452599.0
2019-04-01,627667.0
2019-07-01,793275.0
2019-10-01,510432.0
2020-01-01,3093728.0
2020-04-01,1300857.0
2020-07-01,-1054343.0
2020-10-01,-533570.0
